"","Class","MAperF","MTotF","MCoreF","AreaF","IR2F","csfF","EllipF","MAperJ","MTotJ","MCoreJ","AreaJ","IR2J","csfJ","EllipJ","MAperN","MTotN","MCoreN","AreaN","IR2N","csfN","EllipN"
"129239",0,17955,17910,18602,67000,2110,920,91,19468,19504,19932,35000,1682,920,151,18300,18325,18867,63000,2049,960,102
"110582",0,18484,18415,19199,53000,2072,1020,117,19011,19040,19568,45000,1813,960,159,19481,19392,20134,32000,1756,1140,239
"85328",0,16320,16261,17053,114000,2339,1040,60,17661,17686,18266,79000,2164,1060,129,16957,16731,17812,63000,2485,2550,62
"132484",0,18300,18309,18972,61000,2094,900,58,18853,18806,19433,48000,1880,940,85,19622,19632,20064,29000,1644,880,88
"132679",0,18233,18160,18993,46000,2176,1020,118,18406,18428,18887,50000,1718,940,61,19498,19559,20063,32000,1704,1020,69
"45582",0,16635,16625,17341,91000,2188,1020,69,17373,17431,18038,73000,1989,1120,90,17941,17957,18442,56000,1781,940,160
"82257",0,16283,16261,17119,108000,2356,1100,67,17335,17381,17975,74000,1974,1060,96,17074,17080,17645,70000,1951,1000,69
"81491",0,18751,18638,19500,47000,2032,980,148,20294,20291,20633,24000,1375,880,152,20094,20118,20436,26000,1705,940,206
"126513",0,20177,20070,20702,17000,1577,940,220,21086,20525,21350,19000,1933,1140,527,20093,20079,21063,23000,2296,2250,570
"68676",0,16489,16438,17234,98000,2322,1040,32,17307,17337,17980,83000,2048,1100,29,17554,17539,18156,64000,2012,1020,82
"110854",0,15495,15445,16382,151000,2525,1140,86,16720,16730,17545,106000,2330,1220,58,16650,16652,17294,90000,2017,1080,65
"39758",0,18059,18049,18721,53000,1979,940,89,19479,19645,19819,37000,1545,860,71,18633,18675,19198,44000,1920,1000,162
"39374",0,19365,19336,19936,28000,1608,960,150,20158,20140,20761,23000,1622,920,362,20060,20003,20727,20000,1812,1180,457
"135219",0,16860,16813,17633,96000,2289,1040,71,17706,17796,18259,70000,1918,1000,160,17949,17903,18598,69000,2142,1020,47
"106927",0,16306,16233,17088,108000,2306,1080,111,17755,17868,18287,63000,1786,1000,64,17289,17265,17882,77000,2010,960,65
"79941",0,18579,18485,19302,52000,2243,1020,274,20006,20068,20417,28000,1517,920,157,19018,18977,19743,46000,2132,2900,203
"120420",0,18525,18551,19242,49000,1974,980,71,18796,18868,19252,43000,1738,880,87,20458,20285,20436,19000,1272,780,278
"75771",0,18544,18577,19208,22000,1626,960,259,18898,18963,19363,32000,1643,920,161,20123,19983,20568,25000,1742,940,290
"93153",0,16625,16601,17372,92000,2236,1060,69,17564,17625,18132,65000,1841,1040,66,17835,17739,18484,77000,2214,1040,190
"129445",0,16643,16580,17379,102000,2242,1020,44,17302,17360,17921,79000,1951,1040,10,17996,17963,18661,62000,2029,1020,82
"127956",0,15842,15811,16715,128000,2457,1120,86,17106,17172,17769,79000,1983,1100,90,16783,16775,17400,91000,2057,1020,80
"106151",0,17145,17077,17877,77000,2197,1040,121,18123,18162,18597,56000,1707,960,99,18361,18365,19008,53000,1944,2900,117
"36741",0,19795,19788,20548,31000,1905,940,170,20319,20377,20668,27000,1678,960,299,21377,20946,21482,11000,1423,920,484
"84904",0,16397,16353,17173,106000,2351,1060,65,18134,18198,18678,62000,1873,980,58,17201,17213,17794,75000,1978,1020,35
"40083",0,16056,16007,16892,117000,2376,1100,80,16852,16866,17654,97000,2226,1200,66,17070,17103,17624,76000,1932,980,79
"66105",0,19119,19116,19724,38000,1919,980,144,19689,19675,20089,35000,1743,860,203,20034,20232,20918,15000,1418,2700,59
"88213",0,17441,17332,18081,74000,2142,1020,9,18061,18080,18512,59000,1655,940,79,18842,18853,19370,39000,1755,920,182
"55103",0,16181,16162,16988,50000,2078,1100,133,17477,17518,18061,51000,1895,1020,123,17300,17287,17846,36000,1784,980,103
"32846",0,17474,17501,18139,68000,2063,1020,61,18358,18482,18775,51000,1663,920,16,18566,18548,19244,50000,2080,1100,225
"66636",0,17937,17899,18592,61000,2121,960,184,18296,18357,18737,55000,1822,920,249,19172,19199,20064,38000,1997,2550,166
"1280",0,17905,18027,18725,67000,2213,1020,43,19026,18985,19550,51000,2100,900,338,17716,17701,18403,56000,2105,1020,48
"98559",0,18062,18058,18769,65000,2137,1020,195,18998,19027,19516,41000,1689,960,1,19230,19251,19900,33000,1736,1080,42
"110448",0,16301,16282,17094,111000,2311,1060,51,17413,17372,18153,87000,2242,1100,30,17306,17336,17888,70000,1955,1020,34
"13483",0,15974,15932,16782,117000,2351,1100,87,17050,17049,17778,108000,2259,1120,65,17057,16961,17638,78000,2043,1020,94
"55404",0,15748,15714,16630,131000,2386,1180,50,17510,17589,18135,76000,1947,1080,121,16216,16142,16976,104000,2297,1180,116
"92905",0,19407,19282,19995,33000,1687,940,132,20487,20458,20997,20000,1712,860,565,19250,19181,19958,34000,1865,2800,90
"115037",0,19895,19920,20517,19000,1381,820,27,20812,20999,21542,9000,1195,1240,358,20085,20311,21032,13000,1328,2550,77
"35940",0,16226,16205,16998,112000,2322,1040,54,17000,17071,17730,91000,2126,1140,102,17262,17252,17877,79000,2103,1020,77
"21802",0,14840,14758,15600,208000,2650,1020,93,16121,16166,16952,144000,2477,1260,71,15839,15797,16712,132000,2426,1240,67
"114959",0,16892,16868,17585,54000,2014,1020,79,18264,18330,18735,42000,1749,960,69,17895,17833,18438,65000,1983,940,194
"94150",0,19347,19291,19749,37000,1761,920,179,20737,20987,20932,15000,1239,720,360,19168,19090,19854,40000,1932,1060,128
"128679",0,19981,19900,20575,29000,2015,900,445,21790,21151,21800,11000,1414,1200,339,19978,19702,21316,27000,3067,2150,686
"123193",0,18709,18561,19606,45000,2070,1060,82,19405,19377,19754,40000,1771,900,188,20396,20330,20685,26000,1745,1040,351
"111206",0,17299,17276,18009,74000,2104,960,156,17811,17808,18348,67000,1902,960,97,18808,18755,19254,47000,1747,920,140
"81639",0,18080,18054,18804,62000,2251,1020,122,18411,18520,18861,52000,1739,940,132,19246,19109,20193,36000,2088,1260,154
"114951",0,18601,18559,19251,51000,2032,1020,17,18672,18745,19021,47000,1564,860,194,20237,20217,20576,29000,1708,940,155
"55162",0,17341,17284,18007,72000,2071,1020,75,18211,18261,18763,57000,1875,960,74,18500,18474,19073,45000,1873,1020,168
"39034",0,17471,17412,18190,74000,2243,1020,59,19018,19090,19404,40000,1605,900,177,17812,17798,18434,53000,1943,1020,138
"102949",0,18880,18891,19427,38000,1726,940,95,19890,19960,20109,28000,1496,920,113,19509,19487,20409,24000,1648,1240,106
"16363",0,18447,18381,19168,53000,1981,1020,84,19726,19755,20217,28000,1542,940,315,18623,18501,19250,44000,1868,1000,95
"68076",0,18414,18443,19078,60000,2054,940,110,19746,19837,20033,35000,1700,860,269,18928,18910,19431,33000,1736,1020,108
"84330",0,18671,18679,19319,44000,1889,980,91,19855,19920,20393,25000,1492,880,299,19450,19471,20046,30000,1712,1000,215
"5816",0,17806,17747,18576,65000,2171,1020,148,18241,18290,18693,60000,1695,920,115,18904,18807,19600,42000,2007,1100,137
"3784",0,18690,18758,19879,66000,2526,1100,134,19156,19254,19797,49000,1869,1060,111,19570,19434,20358,28000,2020,2800,365
"88546",0,18316,18218,19015,52000,2032,1000,206,18747,18868,19296,37000,1762,940,96,19514,19488,20299,26000,1785,2750,242
"111686",0,18157,18094,18805,58000,1980,940,118,18906,18891,19348,43000,1711,900,90,19241,19168,19937,40000,1902,1140,86
"72257",0,19541,19554,20263,29000,2269,980,393,21423,20928,21402,16000,2121,900,617,21614,21353,21404,13000,1588,1080,478
"60119",0,17801,17632,18537,72000,2375,1040,205,18205,18252,18675,58000,1836,960,56,19227,19252,19804,35000,1915,980,121
"45592",0,16479,16419,17234,106000,2353,1060,61,17275,17334,17920,75000,1979,1100,48,17659,17635,18241,65000,2055,1020,60
"3052",0,18528,18508,19489,56000,2247,1020,105,19297,19330,19899,42000,1835,1000,232,19693,19844,20409,20000,1921,1000,160
"128790",0,18678,18658,19341,46000,1894,960,43,18973,18945,19502,50000,1932,940,273,20228,19949,20865,29000,2398,1120,625
"50440",0,17665,17668,18284,70000,2025,940,100,18040,18120,18567,60000,1787,1000,185,19029,19007,19718,44000,2102,2800,271
"73019",0,18492,18504,19197,51000,2132,960,97,19861,19935,20352,28000,1502,860,121,19013,18998,19563,39000,1796,1000,95
"93087",0,19058,19130,19724,39000,1944,1060,155,21095,21100,20985,21000,1225,800,303,19769,19800,20584,23000,1771,2750,321
"47196",0,19204,19150,19925,30000,1812,1080,137,20382,20368,20963,27000,1771,1200,255,19679,19668,20125,30000,1679,960,204
"126058",0,18649,18738,19292,48000,1916,960,107,19165,19173,19529,38000,1572,860,71,19921,19876,20810,29000,1906,2350,176
"86648",0,15488,15444,16254,148000,2409,1080,49,17178,17187,17848,84000,2015,1140,94,16231,16170,16975,122000,2316,1180,87
"3127",0,16755,16639,17775,132000,2896,1020,38,16867,16961,17664,99000,2189,1160,58,17256,17217,17859,75000,2004,980,108
"48742",0,17610,17554,18243,72000,2033,960,36,19034,19114,19509,45000,1748,920,137,17791,17805,18380,62000,1955,1000,154
"11834",0,17999,17943,18897,80000,2575,1020,48,18399,18510,18873,53000,1811,960,138,19404,19314,20186,43000,2389,2550,284
"134497",0,16601,16543,17372,102000,2276,1020,86,17530,17601,18137,79000,2010,1040,50,17827,17800,18414,66000,1987,1000,177
"133656",0,18628,18589,19442,53000,2201,1060,201,19083,19054,19567,41000,1625,880,113,19702,19625,20448,29000,1973,980,127
"136404",0,16867,16789,17669,99000,2425,1020,72,18338,18417,18802,52000,1690,920,90,17293,17210,18007,81000,2228,1060,52
"123825",0,17860,17869,18637,76000,2246,1040,222,19105,19047,19474,47000,2052,880,371,17971,17930,18572,65000,2000,1020,75
"35402",0,18924,18764,19600,49000,2140,1020,350,19143,19234,19556,40000,1703,900,180,20363,20308,20812,16000,1696,940,351
"51561",0,15957,15919,16807,120000,2362,1160,77,17439,17540,18047,74000,1920,1080,131,16872,16851,17519,88000,2085,1040,77
"54065",0,16480,16428,17231,105000,2307,1040,62,17546,17622,18125,74000,1904,1020,37,17387,17335,18069,71000,2108,1060,68
"123098",0,20080,19984,20368,26000,1846,820,455,21232,21223,21474,10000,1251,720,273,20300,20110,20856,22000,2423,1100,564
"133511",0,19005,18974,19621,44000,1929,900,3,18781,18809,19274,45000,1782,920,155,20205,20302,20939,11000,1288,1180,333
"93646",0,19798,19787,20584,25000,1726,940,154,20433,21001,21245,15000,1382,920,160,20924,20830,21287,18000,1650,820,397
"98363",0,17568,17486,18252,71000,2201,1000,60,19471,19541,19915,40000,1632,900,161,17628,17659,18118,65000,1849,940,57
"40137",0,15550,15489,16409,124000,2460,1100,33,16622,16632,17418,86000,2266,1220,72,16519,16490,17174,96000,2102,1040,62
"6326",0,19149,19104,19912,34000,2023,980,252,20835,20832,21028,18000,1463,960,116,19149,19038,19723,39000,1861,960,346
"35319",0,18555,18601,19207,43000,1867,960,77,19534,19568,20024,41000,1947,880,400,18577,18586,19198,48000,1963,2900,67
"42329",0,17331,17259,18030,77000,2192,1020,80,18809,18838,19327,45000,1746,920,71,17546,17516,18109,63000,1944,960,113
"81637",0,19523,19389,20218,33000,1890,940,213,20003,20065,20587,33000,1834,1000,208,20055,20773,21204,12000,1310,2600,370
"25962",0,18480,18478,19073,51000,1915,940,128,19607,19629,20168,33000,1643,900,59,18494,18479,19091,50000,1907,1040,158
"102128",0,19428,19297,20102,36000,1916,940,104,20607,20858,20663,25000,1554,840,135,19888,20281,21081,16000,1525,1460,189
"49084",0,18399,18312,18997,49000,1842,920,27,18327,18400,18819,53000,1747,960,82,19383,19319,20040,32000,1856,1120,193
"33242",0,16215,16171,16985,107000,2277,1080,61,17034,17129,17739,90000,2109,1140,83,17291,17247,17915,79000,2089,1020,198
"50518",0,17950,17927,18592,61000,1964,960,64,19154,19268,19439,39000,1528,860,56,19226,19259,19774,39000,1840,2950,102
"15397",0,14753,14690,15472,199000,2525,1020,47,15992,16016,16816,144000,2397,1220,26,15904,15898,16686,116000,2252,1180,36
"5023",0,19168,19183,19864,37000,1916,980,11,19491,19521,19900,33000,1543,840,107,19838,20308,21018,13000,1663,1180,476
"83279",0,19718,19779,20225,29000,1797,940,123,20627,20598,21196,18000,1538,1040,274,19764,19723,20348,25000,1705,960,248
"25108",0,18635,18602,19274,43000,1842,960,42,19218,19224,19657,42000,1662,880,118,19867,19745,20124,24000,1556,920,220
"56714",0,18969,18887,19715,39000,2045,1040,170,19342,19394,19969,37000,1852,1120,117,19667,19703,20904,21000,2466,2050,577
"53495",0,18756,18742,19471,45000,1948,1020,142,19009,19078,19244,39000,1443,820,86,20023,20061,20644,18000,1496,960,111
"65680",0,18979,18975,19558,42000,1944,920,173,19063,19067,19604,47000,1857,940,117,20078,20067,20605,25000,1722,1060,475
"133776",0,18952,18885,19743,46000,2016,1040,143,20230,20300,20746,29000,1536,1000,202,18750,18725,19353,50000,1980,960,342
"11208",0,18718,18661,19655,55000,2259,1040,48,18753,18791,19262,50000,2009,920,358,19705,20450,20928,7000,1336,2150,396
"66586",0,18097,18090,18722,55000,2030,900,125,18552,18655,19030,52000,1825,960,128,19413,19337,20171,36000,1928,2750,60
"122287",0,18659,18614,19504,52000,2209,1060,123,19996,20046,20342,24000,1414,820,209,19412,19378,20092,25000,1609,2900,228
"22410",0,19974,20121,20686,16000,1523,920,222,21556,21580,21861,7000,1675,860,665,19876,19824,20721,21000,1758,2750,275
"759",0,16478,16412,17335,89000,2426,1020,83,17024,17086,17706,60000,1997,1120,81,17326,17312,17961,75000,2119,1020,99
"85891",0,17372,17328,18076,78000,2227,1020,103,18136,18152,18671,62000,1880,1000,70,18698,18682,19240,42000,1799,960,210
"54454",0,17819,17748,18495,65000,2097,1000,131,18822,18859,19324,43000,1689,880,78,19025,18994,19523,36000,1689,940,32
"18226",0,18549,18431,19215,49000,1985,960,88,20227,19942,20614,43000,2443,820,474,18711,18730,19239,42000,1764,1040,156
"85257",0,18672,18738,19059,46000,1680,820,191,19886,19927,20244,29000,1614,900,243,18579,18586,19208,49000,1983,2850,45
"80882",0,19466,19452,19944,33000,1707,840,63,20529,20491,20805,19000,1465,960,121,20614,20589,21004,20000,1630,1080,171
"62339",0,17829,17845,18424,58000,1936,940,63,18889,18905,19232,44000,1567,860,112,18765,18682,19534,41000,2017,1180,186
"89914",0,19212,19146,19692,40000,1763,860,28,19198,19211,19746,38000,1702,900,128,20359,20332,20935,23000,1815,1040,400
"66953",0,18768,18805,19381,53000,2017,880,106,18925,18975,19450,46000,1754,940,203,20377,20511,20983,15000,1417,940,160
"23896",0,15142,15042,16090,212000,2830,1180,37,16020,16054,16861,161000,2563,1220,70,16011,15956,16787,127000,2312,1100,40
"56126",0,18304,18417,19000,31000,1833,980,75,19602,19524,20070,38000,1792,840,400,18259,18318,18900,29000,1709,1000,64
"114806",0,17754,17755,18434,62000,2043,1000,66,18001,18069,18505,61000,1782,1000,24,19236,19209,19761,35000,1747,920,71
"126897",0,20465,20493,20736,21000,1738,840,99,22388,21835,22103,8000,1333,980,327,20709,20584,20943,17000,1496,980,231
"70916",0,18856,18890,19520,37000,1952,1000,238,20383,20365,20790,21000,1512,980,95,18869,18891,19416,43000,1845,940,240
"136361",0,17778,17669,18540,76000,2269,960,157,18116,18165,18594,63000,1797,940,147,18796,18858,19544,38000,1986,1120,160
"79871",0,18067,18154,18656,56000,1813,980,33,18796,18905,19213,44000,1593,900,160,19556,19497,19948,33000,1811,940,297
"52397",0,19605,19627,20274,28000,1791,940,226,21082,21008,21259,11000,1142,700,169,20382,20342,20816,20000,1526,960,34
"41659",0,19472,19503,20040,34000,1678,900,97,21321,20994,21362,15000,1345,840,250,19286,19318,19804,41000,1983,920,314
"128058",0,15071,14991,16110,138000,2693,1260,29,16197,16200,17046,116000,2501,1300,27,16091,16058,16832,118000,2233,1140,103
"64041",0,17906,17746,18610,68000,2215,1020,110,18336,18338,18725,62000,1927,900,229,19572,19402,20072,38000,2234,1000,378
"123528",0,18712,18501,19585,53000,2452,1040,429,18727,18636,19217,56000,2219,940,327,20667,20464,20792,15000,1316,840,222
"76679",0,18226,18224,18878,51000,2000,1000,130,19917,20049,20195,30000,1541,860,227,18681,18655,19380,49000,1985,1080,147
"87271",0,18264,18153,18934,60000,2422,1020,429,20256,20230,20266,27000,1439,780,175,18291,18319,18848,34000,1778,980,74
"68500",0,17124,17068,17822,71000,2074,1020,17,18329,18421,18777,51000,1710,940,52,18252,18336,18702,52000,1693,920,40
"115567",0,18971,18910,19683,36000,1856,1100,28,19980,20000,20583,33000,1799,1000,127,20153,19985,20485,19000,1357,900,148
"115698",0,18420,18412,19071,45000,1862,1000,56,18473,18442,18964,49000,1747,920,152,20129,19990,20409,25000,1664,1060,318
"133778",0,19545,19599,20175,31000,1821,920,236,20273,20247,20871,24000,1658,960,104,19736,19637,20306,31000,1940,1080,305
"95491",0,18862,18955,19403,41000,1782,920,200,20064,20148,20417,31000,1630,940,16,19276,19243,19961,30000,1681,1020,121
"54788",0,17606,17609,18288,70000,2099,1020,98,18256,18273,18758,64000,1912,920,33,18996,19024,19483,42000,1821,940,95
"17030",0,14418,14356,15004,210000,2448,840,76,16543,16609,17353,103000,2205,1220,46,15419,15334,16464,153000,2694,1420,22
"77260",0,17636,17593,18316,76000,2249,1020,131,18216,18290,18617,53000,1633,940,52,19032,18981,19621,39000,1817,960,56
"13523",0,16291,16271,17078,99000,2232,1080,34,17117,17164,17813,89000,2079,1100,50,17319,17287,18023,72000,2030,1080,79
"56401",0,15621,15550,16510,143000,2533,1200,53,16770,16821,17563,99000,2136,1200,87,16622,16541,17293,101000,2236,1080,24
"111876",0,18208,18147,18940,58000,2112,1020,88,18582,18555,19063,56000,1849,900,58,20330,20300,20536,23000,1530,940,151
"47048",0,18718,18643,19405,45000,2003,1020,250,19406,19521,19596,35000,1325,860,96,20268,20330,20796,17000,1388,700,91
"134446",0,18674,18610,19390,45000,1984,1000,204,19973,19962,20318,28000,1530,860,193,19141,19171,19807,35000,1808,1060,106
"51228",0,16638,16586,17410,97000,2254,1060,33,17499,17569,18079,73000,1918,1040,38,17820,17784,18428,66000,2002,980,35
"100564",0,20278,20299,20668,14000,1393,900,341,21385,21489,21841,6000,1007,940,592,19957,19886,20469,22000,1765,2900,249
"49827",0,17532,17488,18202,75000,2171,1020,172,18777,18747,19334,62000,2426,900,461,18238,18165,18901,57000,2052,2850,72
"112254",0,18738,18853,19201,48000,1837,900,213,18681,18673,19042,49000,1744,860,143,19454,19404,20308,25000,1707,2750,174
"72224",0,15437,15383,16278,149000,2471,1140,40,16868,16866,17583,92000,2093,1140,32,16406,16384,17102,99000,2153,1140,31
"10108",0,18389,18258,19314,63000,2458,1020,220,19821,19967,19961,34000,1511,880,46,19144,19108,19945,32000,1849,2850,223
"23422",0,19107,19105,19932,38000,1971,1100,144,21005,21025,21348,26000,1832,1160,210,20277,20273,21319,18000,1610,2350,433
"1939",0,19346,19376,19960,36000,1932,840,46,20601,20631,20805,18000,1365,800,139,18897,18833,19495,39000,1814,980,136
"101165",0,17984,18034,18603,57000,1892,980,83,19301,19334,19721,36000,1578,880,214,18683,18614,19382,50000,2240,1080,264
"34339",0,16143,16108,16940,111000,2359,1060,91,16991,17070,17701,86000,2064,1140,80,17312,17281,17859,70000,1852,960,109
"42580",0,16218,16177,17001,87000,2296,1100,54,17129,17147,17868,91000,2150,1160,36,17364,17380,17916,69000,1876,980,70
"8704",0,16554,16414,17469,139000,2832,1020,58,17214,17279,17866,95000,2144,1060,98,17358,17389,18011,75000,1988,1040,89
"129810",0,16180,16132,17050,118000,2464,1040,105,17105,17127,17830,93000,2151,1180,96,17265,17294,17898,76000,1991,1020,47
"45520",0,18114,18149,18712,55000,1929,920,160,19683,19617,20146,39000,2179,800,392,18165,18085,18761,72000,2471,920,323
"48222",0,16007,15956,16801,114000,2342,1100,29,16860,16942,17547,87000,2051,1120,67,17048,16984,17634,76000,2054,1020,72
"117842",0,18899,18936,19404,45000,1746,900,71,19962,19982,20495,29000,1588,920,307,18800,18691,19503,45000,1992,1080,157
"74972",0,19499,19516,20184,22000,1611,1040,165,20578,20607,20932,22000,1575,1040,37,20306,20388,21039,16000,1627,1140,155
"90672",0,17476,17493,18099,69000,2073,960,165,18207,18254,18691,58000,1839,1000,91,18833,18855,19317,44000,1853,1020,178
"13282",0,16617,16600,17328,94000,2151,1020,82,17654,17677,18245,76000,1954,1020,55,17732,17641,18324,72000,2231,960,117
"93311",0,16454,16353,17190,108000,2371,1060,99,18012,18056,18510,58000,1756,980,13,17115,17087,17682,87000,2074,1000,70
"23183",0,18966,18920,19553,37000,1824,880,156,20142,20367,20470,30000,1511,800,128,19862,19842,20251,29000,1710,940,193
"46765",0,19920,19908,20692,20000,1574,700,473,21034,20779,20732,17000,1222,780,269,20515,20673,21280,9000,1299,1200,324
"109601",0,15820,15775,16709,129000,2470,1100,57,17363,17385,18051,90000,2124,1080,80,16770,16799,17406,89000,2089,1060,39
"67595",0,17470,17380,18224,74000,2243,1020,104,18866,18981,19322,44000,1650,920,76,18348,18236,19063,57000,2202,1100,147
"108910",0,17963,17930,18729,36000,1990,1020,121,18204,18287,18770,53000,1884,960,83,19501,19581,20187,20000,1641,1040,176
"112149",0,18857,18823,19526,38000,1954,1040,51,20060,20038,20593,25000,1581,1000,258,19915,20036,20016,31000,1503,860,246
"70222",0,16666,16588,17428,97000,2345,1060,50,17791,17797,18378,71000,2006,1020,148,17715,17719,18340,71000,2165,2850,93
"132575",0,19371,19340,20046,42000,1976,940,171,20002,19950,20685,30000,1837,940,322,19969,19921,20758,23000,1761,1320,147
"70644",0,17607,17563,18319,67000,2120,1020,38,19335,19424,19615,35000,1547,860,159,18115,18085,18665,55000,1913,980,142
"29909",0,20006,19936,20543,17000,1434,900,257,21759,21261,21815,9000,1918,1000,611,19993,19987,20550,16000,1522,920,350
"17124",0,18387,18418,19039,48000,1967,920,122,19198,19240,19625,42000,1748,940,300,19620,19640,20082,23000,1495,920,138
"90717",0,16075,16032,16869,111000,2312,1100,95,17224,17315,17816,77000,1934,1060,30,17163,17146,17761,88000,2049,1020,100
"55296",0,18834,18810,19428,46000,1921,960,32,20763,20866,20599,22000,1167,700,283,19945,19855,20285,28000,1777,880,368
"125392",0,17657,17583,18398,78000,2280,1020,24,18161,18245,18646,62000,1777,980,46,19363,19292,19802,36000,1600,1040,47
"4951",0,16792,16779,17528,68000,2146,1020,59,18061,17992,18590,66000,1923,940,106,17417,17473,17974,72000,1863,940,75
"41834",0,18220,18160,18763,55000,1833,940,103,19101,19144,19470,43000,1616,900,56,19422,19380,19884,36000,1855,1000,384
"70660",0,19265,19267,19790,37000,1729,920,183,20266,20221,20721,24000,1660,980,245,20357,20278,20840,16000,1413,1020,210
"14392",0,17286,17185,17966,83000,2331,1020,172,18230,18270,18712,57000,1745,900,67,18480,18393,19103,49000,1924,1040,19
"25973",0,17412,17402,18033,65000,2002,940,77,17847,17851,18461,76000,2087,1020,94,18765,18668,19295,47000,1936,940,309
"11206",0,18645,18549,19608,57000,2328,1020,154,18892,18902,19447,49000,1892,940,234,19930,19925,20543,23000,1561,960,66
